Transaction ID,amount,Comments
13618725,6,Please verify the order details with the accounting team so we can finalize the reconciliation.
81768473,3,The issue has been reviewed and closed successfully after corrections were applied.
96988196,15,"The status has been updated, and all records now reflect accurate information and you can download the report again"
15364726,40,"There’s a discrepancy in the order details, and we need more time to resolve it."
65259380,351,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
84972550,17,"The payment gateway didn’t return the correct confirmation, so the order remains unresolved."
71194233,127,"The system returned an error when processing the payment, so we need to reprocess it."
77234526,501,The payment status remains “processing.” We need to wait for it to finalize before reconciling.
33963035,21,The resolved payment was successfully reconciled and updated in the system.
20349703,10400,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
66937809,3126,We suggest checking with the payment provider to confirm if the payment was completed successfully.
58637973,407,"The order was refunded due to a customer request, and the issue is now closed."
73307871,127,"The comments provided don’t match the transaction details, so we need further clarification."
20197198,5500,The issue has been reviewed and closed successfully after corrections were applied.
74727226,10,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
97566778,1.399999976,The wrong transaction ID was used in the initial record. It’s now corrected.
32616337,200,"The reconciliation process was interrupted, and we need to restart it to verify the data."
36758479,3,"The system glitch that caused the mismatch was fixed, and the transaction has been reconciled."
90014073,84.41000366,"The missing data was found, and all accounts are now balanced."
73239761,40000,The wrong transaction ID was used in the initial record. It’s now corrected.
78839426,7120,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
53186640,68,We suggest checking with the payment provider to confirm if the payment was completed successfully.
37331518,50,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
67468527,1275,"The system returned an error when processing the payment, so we need to reprocess it."
42205539,350,The issue has been successfully resolved. The transaction has been matched
44316620,700,The payment reference provided doesn’t match the system’s record. We need additional verification.
40908049,1000,We suggest checking with the payment provider to confirm if the payment was completed successfully.
43371350,7000,"The order ID mismatch has been resolved, and the correct amount has been applied."
32179801,25,"Its not been 3 months, wait and then raise for the issue"
17771704,1700,"We found a partial payment, but the full transaction details are still missing."
36051516,675,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
74679886,20.29999924,"The order ID mismatch has been resolved, and the correct amount has been applied."
41919651,270,Kindly check the payment gateway logs to identify any issues with the transaction.
70316575,15,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
83413298,52,"The payment was processed twice, and the duplicate entry has been removed."
49881751,10000,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
44997447,180,"The payment was rejected, but we have no details on why. More information is required to resolve."
89968841,6083,"The system returned an error when processing the payment, so we need to reprocess it."
85884133,150,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
60104471,100,"The system returned an error when processing the payment, so we need to reprocess it."
13227660,4000,"The comments provided don’t match the transaction details, so we need further clarification."
88813193,7384,"The order was refunded due to a customer request, and the issue is now closed."
11570297,350,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
92873637,15,The reconciliation has been completed. The records now align across all platforms.
43695040,22,"The reconciliation process was interrupted, and we need to restart it to verify the data."
63871003,20,"The payment was processed successfully, and the reconciliation issue is now resolved."
76366358,5,"The customer provided the correct payment reference, and the discrepancy was cleared."
83911583,100,"The payment was processed successfully, and the reconciliation issue is now resolved."
81917918,10,"The order ID mismatch has been resolved, and the correct amount has been applied."
64990183,10500,The payment reference provided doesn’t match the system’s record. We need additional verification.
76783419,5060,The transaction needs to be manually confirmed before we can proceed with reconciliation.
96468014,11.39000034,We need the customer’s payment reference to proceed with the investigation.
74785864,575,"The payment was processed successfully, and the reconciliation issue is now resolved."
70826402,520,"The comments provided don’t match the transaction details, so we need further clarification."
45031467,20,We need the customer’s payment reference to proceed with the investigation.
65781697,2,Please verify the order details with the accounting team so we can finalize the reconciliation.
99617229,12000,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
25752551,35,We need the customer’s payment reference to proceed with the investigation.
95197689,11.19999981,"The order ID mismatch has been resolved, and the correct amount has been applied."
89151560,1225,"The payment discrepancy was related to a system error, which has now been fixed."
79471280,667.9000244,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
36669936,256.8099976,"The transaction was mistakenly marked as pending, but it is now confirmed and paid"
65981988,40,"The error was caused by incorrect data formatting, which has now been corrected."
16780815,350,The discrepancy was due to an incorrect payment method. It’s now corrected and reconciled.
34949731,340,The transaction needs to be manually confirmed before we can proceed with reconciliation.
84490819,9000,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
32805372,700,"The system returned an error when processing the payment, so we need to reprocess it."
80266019,1000,The wrong transaction ID was used in the initial record. It’s now corrected.
48732520,1750,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
63126963,810,The discrepancy was due to an incorrect payment method. It’s now corrected and reconciled.
49176653,84,"The system returned an error when processing the payment, so we need to reprocess it."
17396018,362,"The system returned an error when processing the payment, so we need to reprocess it."
81306467,200,"The missing data was found, and all accounts are now balanced."
43543651,76,Kindly check the payment gateway logs to identify any issues with the transaction.
69007428,2,"The payment was processed successfully, and the reconciliation issue is now resolved."
36702557,600,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
23310712,15000,"There’s a discrepancy in the order details, and we need more time to resolve it."
71372534,60,"The payment was rejected, but we have no details on why. More information is required to resolve."
69072313,223,"Its not been 3 months, wait and then raise for the issue"
13631362,340,The amount recorded does not match the expected payment. Please double-check the payment details.
18297514,7.699999809,"The order was refunded due to a customer request, and the issue is now closed."
27178082,35,Please verify the order details with the accounting team so we can finalize the reconciliation.
15774621,1059,The wrong transaction ID was used in the initial record. It’s now corrected.
71878823,3.630000114,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
56893464,230,"The data from the external source is missing key information, and we need to validate before proceeding."
85688856,102,"After reviewing the order, we found the correct payment details. The case is now resolved."
57673464,173,"After reviewing the order, we found the correct payment details. The case is now resolved."
99927636,100,"We found a partial payment, but the full transaction details are still missing."
68510151,35,The payment reference provided doesn’t match the system’s record. We need additional verification.
63554274,58,"The payment was processed twice, and the duplicate entry has been removed."
79338124,507,"We found a partial payment, but the full transaction details are still missing."
19198324,2040,"The payment was rejected, but we have no details on why. More information is required to resolve."
80445127,5400,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
51193080,28000,The transaction needs to be manually confirmed before we can proceed with reconciliation.
45013796,108,The payment status remains “processing.” We need to wait for it to finalize before reconciling.
46885315,2016,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
47221480,150,The payment reference provided doesn’t match the system’s record. We need additional verification.
50157984,132.5,The wrong transaction ID was used in the initial record. It’s now corrected.
30529465,300,We suggest checking with the payment provider to confirm if the payment was completed successfully.
30725357,555,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
30385965,100.3000031,"The payment status is still showing as pending, and we need further clarification before resolving."
54749274,3358.100098,"The payment was processed twice, and the duplicate entry has been removed."
35025502,495.5,The issue has been reviewed and closed successfully after corrections were applied.
27937114,57,The issue has been reviewed and closed successfully after corrections were applied.
64406097,3,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
43351344,3050,"The transaction was mistakenly marked as pending, but it is now confirmed and paid"
29630654,406,We couldn’t locate the order ID in the system; please verify the transaction details.
25544476,16,The issue has been successfully resolved. The transaction has been matched
23126828,8500,The payment was not found in the corresponding financial report. Additional investigation is required.
42071204,100,Kindly check the payment gateway logs to identify any issues with the transaction.
22592504,6.300000191,"The status has been updated, and all records now reflect accurate information and you can download the report again"
80888552,150,"The payment status is still showing as pending, and we need further clarification before resolving."
45864178,10,"The reconciliation process was interrupted, and we need to restart it to verify the data."
95202800,10,"The payment was processed twice, and the duplicate entry has been removed."
71994644,50,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
22080766,313,We couldn’t locate the order ID in the system; please verify the transaction details.
51144519,174,"The data from the external source is missing key information, and we need to validate before proceeding."
95801678,10000,"The payment was rejected, but we have no details on why. More information is required to resolve."
85992415,84.5,"The payment gateway didn’t return the correct confirmation, so the order remains unresolved."
72160656,28000,"The data from the external source is missing key information, and we need to validate before proceeding."
80573428,70000,"The wrong account was initially credited, but the transaction has been rectified and processed correctly."
39706069,2170,"The wrong account was initially credited, but the transaction has been rectified and processed correctly."
26832395,1624,The transaction needs to be manually confirmed before we can proceed with reconciliation.
47444117,8,"The status has been updated, and all records now reflect accurate information and you can download the report again"
13986642,14,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
72452114,5835.700195,"We found a partial payment, but the full transaction details are still missing."
84050325,20,The issue has been reviewed and closed successfully after corrections were applied.
32387155,100,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
31439028,508,We suggest checking with the payment provider to confirm if the payment was completed successfully.
88420641,1700,"The system is currently down, preventing us from completing the reconciliation."
11190001,500,"The missing order ID has been found, and the data has been updated accordingly."
26977529,23,"The missing data was found, and all accounts are now balanced."
80144100,100,"Its not been 3 months, wait and then raise for the issue"
99646652,500,"The system is currently down, preventing us from completing the reconciliation."
63392311,130,"The payment was rejected, but we have no details on why. More information is required to resolve."
58366437,10000,"After reviewing the order, we found the correct payment details. The case is now resolved."
13836968,100,"After reviewing the order, we found the correct payment details. The case is now resolved."
70469434,13,We suggest checking with the payment provider to confirm if the payment was completed successfully.
89330444,105,Kindly check the payment gateway logs to identify any issues with the transaction.
60809058,368,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
78377586,25,The issue has been successfully resolved. The transaction has been matched
14565692,70,The reconciliation has been completed. The records now align across all platforms.
95078629,4500,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
46223354,200,"The missing order ID has been found, and the data has been updated accordingly."
85801698,350,Kindly check the payment gateway logs to identify any issues with the transaction.
25063187,12,"The missing order ID has been found, and the data has been updated accordingly."
47680195,50,"The payment was processed successfully, and the reconciliation issue is now resolved."
72341820,8872,"The payment gateway didn’t return the correct confirmation, so the order remains unresolved."
84258600,2558,"The customer provided the correct payment reference, and the discrepancy was cleared."
36418100,4.099999905,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
54002596,250.5500031,"The order ID mismatch has been resolved, and the correct amount has been applied."
67934894,4,The wrong transaction ID was used in the initial record. It’s now corrected.
91420618,10000,"The error was caused by incorrect data formatting, which has now been corrected."
16031495,500,"The payment was processed successfully, and the reconciliation issue is now resolved."
93376156,1700,"There’s a discrepancy in the order details, and we need more time to resolve it."
60583117,100,"The error was caused by incorrect data formatting, which has now been corrected."
84315414,1.399999976,"The error was caused by incorrect data formatting, which has now been corrected."
58192731,255,"The order ID mismatch has been resolved, and the correct amount has been applied."
99315383,508,"The system glitch that caused the mismatch was fixed, and the transaction has been reconciled."
85011595,400,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
24582115,178,"Its not been 3 months, wait and then raise for the issue"
78725216,35.27000046,"The system returned an error when processing the payment, so we need to reprocess it."
40131036,6500,"We found a partial payment, but the full transaction details are still missing."
56221933,35000,"The status has been updated, and all records now reflect accurate information and you can download the report again"
81109466,3.539999962,"The payment discrepancy was related to a system error, which has now been fixed."
19678628,399,"The payment was processed twice, and the duplicate entry has been removed."
77464118,13828,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
20191171,1590,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
50584238,716,"The order was refunded due to a customer request, and the issue is now closed."
94802087,10,"The error was caused by incorrect data formatting, which has now been corrected."
34766502,50,"The order ID mismatch has been resolved, and the correct amount has been applied."
89393427,227,"The missing order ID has been found, and the data has been updated accordingly."
51593934,41,"The system glitch that caused the mismatch was fixed, and the transaction has been reconciled."
42954847,620,The payment status remains “processing.” We need to wait for it to finalize before reconciling.
88594770,2604,"The customer provided the correct payment reference, and the discrepancy was cleared."
87031862,80,"The order ID and payment do not align with our records, and we are awaiting further confirmation."
64507583,10000,The payment status remains “processing.” We need to wait for it to finalize before reconciling.
73685094,740,The resolved payment was successfully reconciled and updated in the system.
67997666,24,"We found a partial payment, but the full transaction details are still missing."
16057618,30,"We found a partial payment, but the full transaction details are still missing."
98990214,15,"The transaction was mistakenly marked as pending, but it is now confirmed and paid"
70363631,1869,"The order ID mismatch has been resolved, and the correct amount has been applied."
44579924,1006.799988,"The order ID mismatch has been resolved, and the correct amount has been applied."
97458201,530,"The system glitch that caused the mismatch was fixed, and the transaction has been reconciled."
77064783,200,"The order was refunded due to a customer request, and the issue is now closed."
35856017,5,"The missing data was found, and all accounts are now balanced."
71370679,1200,"Its not been 3 months, wait and then raise for the issue"
21261627,1020,"The customer provided the correct payment reference, and the discrepancy was cleared."
99096854,1200,"The system glitch that caused the mismatch was fixed, and the transaction has been reconciled."
17139032,130,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
20435161,58,"The status has been updated, and all records now reflect accurate information and you can download the report again"
62394233,3,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
39940329,116,"The system returned an error when processing the payment, so we need to reprocess it."
17036258,896,"The error was caused by incorrect data formatting, which has now been corrected."
83304881,1100,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
74430661,19,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
93702435,400,"Its not been 3 months, wait and then raise for the issue"
57216401,2300,The issue has been reviewed and closed successfully after corrections were applied.
26086076,70000,"The missing order ID has been found, and the data has been updated accordingly."
63628034,2,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
43483361,18,"After reviewing the order, we found the correct payment details. The case is now resolved."
86227585,510,"The system glitch that caused the mismatch was fixed, and the transaction has been reconciled."
49754492,1.399999976,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
23188906,814.7999878,The reconciliation has been completed. The records now align across all platforms.
48338526,20,The discrepancy was due to an incorrect payment method. It’s now corrected and reconciled.
15666265,100,"The payment gateway didn’t return the correct confirmation, so the order remains unresolved."
39314755,200,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
22026753,111,"Its not been 3 months, wait and then raise for the issue"
79582591,430,"The payment discrepancy was related to a system error, which has now been fixed."
15670749,210,The resolved payment was successfully reconciled and updated in the system.
89737148,15000,"The payment was processed successfully, and the reconciliation issue is now resolved."
87574976,4004,"The payment discrepancy was related to a system error, which has now been fixed."
48877049,50,Please verify the order details with the accounting team so we can finalize the reconciliation.
69049577,2200,The payment reference provided doesn’t match the system’s record. We need additional verification.
48953352,43.00999832,"The system is currently down, preventing us from completing the reconciliation."
85338881,53,"The wrong account was initially credited, but the transaction has been rectified and processed correctly."
27282241,100,"The system is currently down, preventing us from completing the reconciliation."
15438522,60,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
63870287,600,"Its not been 3 months, wait and then raise for the issue"
44454457,90,The payment was not found in the corresponding financial report. Additional investigation is required.
93290568,5774,"The system returned an error when processing the payment, so we need to reprocess it."
14472621,5,The transaction appears to have been processed but wasn’t recorded in the system. Further investigation needed.
90325680,670,The discrepancy was due to an incorrect payment method. It’s now corrected and reconciled.
41890042,365,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
82898396,5747,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
48041187,161,"The missing data was found, and all accounts are now balanced."
49263173,87,"The customer provided the correct payment reference, and the discrepancy was cleared."
56219599,9177,"The payment was processed successfully, and the reconciliation issue is now resolved."
58191741,50,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
87045085,100,"The wrong account was initially credited, but the transaction has been rectified and processed correctly."
94057189,16,Please verify the order details with the accounting team so we can finalize the reconciliation.
48084830,4.199999809,"The system is currently down, preventing us from completing the reconciliation."
66594787,26,"The payment discrepancy was related to a system error, which has now been fixed."
83034507,3828,"The missing data was found, and all accounts are now balanced."
54199987,40,"The payment discrepancy was related to a system error, which has now been fixed."
90771373,100000,"The payment gateway didn’t return the correct confirmation, so the order remains unresolved."
64492961,500,"The payment was rejected, but we have no details on why. More information is required to resolve."
60644671,5000,"The system is currently down, preventing us from completing the reconciliation."
78319776,400,The issue has been successfully resolved. The transaction has been matched
80082989,2,The amount recorded does not match the expected payment. Please double-check the payment details.
22407037,130,"The order was refunded due to a customer request, and the issue is now closed."
57570218,70,"The payment discrepancy was related to a system error, which has now been fixed."
69111767,900,"The payment discrepancy was related to a system error, which has now been fixed."
51624104,7000,"The system glitch that caused the mismatch was fixed, and the transaction has been reconciled."
56462134,15000,"The data from the external source is missing key information, and we need to validate before proceeding."
35924409,54,The reconciliation has been completed. The records now align across all platforms.
99575802,60,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
67014211,2831,"The error was caused by incorrect data formatting, which has now been corrected."
20972505,357,The wrong transaction ID was used in the initial record. It’s now corrected.
77638425,835,"The data from the external source is missing key information, and we need to validate before proceeding."
32066969,8,"The wrong account was initially credited, but the transaction has been rectified and processed correctly."
18127714,150,"The payment was processed twice, and the duplicate entry has been removed."
94268694,13,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
50140494,22,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
35978985,600,"The order ID mismatch has been resolved, and the correct amount has been applied."
84403433,170,The payment status remains “processing.” We need to wait for it to finalize before reconciling.
78613705,800,"The payment discrepancy was related to a system error, which has now been fixed."
71897375,1566,"The customer provided the correct payment reference, and the discrepancy was cleared."
45266130,11,The issue has been successfully resolved. The transaction has been matched
55786523,317,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
67427920,500,The resolved payment was successfully reconciled and updated in the system.
11476593,410,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
66714897,150,"We found a partial payment, but the full transaction details are still missing."
55296818,28000,"The missing order ID has been found, and the data has been updated accordingly."
30114030,20,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
91716285,498,"The order ID and payment do not align with our records, and we are awaiting further confirmation."
51476972,50,"The comments provided don’t match the transaction details, so we need further clarification."
71163037,700,The issue has been successfully resolved. The transaction has been matched
51456900,88,The transaction needs to be manually confirmed before we can proceed with reconciliation.
85967837,5,"The system is currently down, preventing us from completing the reconciliation."
76299117,12000,The discrepancy was due to an incorrect payment method. It’s now corrected and reconciled.
63013333,136.3000031,"The status has been updated, and all records now reflect accurate information and you can download the report again"
74552575,30,"We found a partial payment, but the full transaction details are still missing."
63516557,15000,The discrepancy was due to an incorrect payment method. It’s now corrected and reconciled.
65539005,230,The payment was not found in the corresponding financial report. Additional investigation is required.
64625802,357,The payment was not found in the corresponding financial report. Additional investigation is required.
32928867,4063,"The order was refunded due to a customer request, and the issue is now closed."
57264599,100,"The missing order ID has been found, and the data has been updated accordingly."
17712168,650,We couldn’t locate the order ID in the system; please verify the transaction details.
69520500,30700,"The transaction was mistakenly marked as pending, but it is now confirmed and paid"
32667890,2133,Please verify the order details with the accounting team so we can finalize the reconciliation.
81306730,271,The transaction needs to be manually confirmed before we can proceed with reconciliation.
21474964,118,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
53507415,11,"The payment was processed successfully, and the reconciliation issue is now resolved."
36410694,425,"The payment was rejected, but we have no details on why. More information is required to resolve."
34630923,254,"The order ID and payment do not align with our records, and we are awaiting further confirmation."
50121636,285,"The error was caused by incorrect data formatting, which has now been corrected."
30266427,1.700000048,The transaction needs to be manually confirmed before we can proceed with reconciliation.
67686600,41.29999924,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
72082763,2550,The wrong transaction ID was used in the initial record. It’s now corrected.
18288806,22,The issue has been reviewed and closed successfully after corrections were applied.
40055682,751,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
95214704,230,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
46059234,800,The payment status remains “processing.” We need to wait for it to finalize before reconciling.
49486899,535,"The order was refunded due to a customer request, and the issue is now closed."
72090393,1614,"The transaction was mistakenly marked as pending, but it is now confirmed and paid"
79889713,3679.399902,We need the customer’s payment reference to proceed with the investigation.
47794253,2.099999905,The reconciliation has been completed. The records now align across all platforms.
67629612,3000,"The system is currently down, preventing us from completing the reconciliation."
44602994,2,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
31103408,300,The wrong transaction ID was used in the initial record. It’s now corrected.
92874197,250,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
43456159,220,"There’s a discrepancy in the order details, and we need more time to resolve it."
77747044,39,The resolved payment was successfully reconciled and updated in the system.
91387450,100,The payment was not found in the corresponding financial report. Additional investigation is required.
63726504,1000,"The wrong account was initially credited, but the transaction has been rectified and processed correctly."
96756050,4140,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
82306759,922,"The order ID and payment do not align with our records, and we are awaiting further confirmation."
97217561,136,"The payment was rejected, but we have no details on why. More information is required to resolve."
88536687,60,"The payment was processed twice, and the duplicate entry has been removed."
91487528,19,"The missing order ID has been found, and the data has been updated accordingly."
65233475,80,"We found a partial payment, but the full transaction details are still missing."
29788945,1,"The payment status is still showing as pending, and we need further clarification before resolving."
39716672,25,"The data from the external source is missing key information, and we need to validate before proceeding."
30657675,1000,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
75861195,50,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
21961279,147,"The payment discrepancy was related to a system error, which has now been fixed."
22240733,1000,The amount recorded does not match the expected payment. Please double-check the payment details.
37625748,20,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
92693084,30,"The system glitch that caused the mismatch was fixed, and the transaction has been reconciled."
93682319,100,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
97517313,1300,"The payment gateway didn’t return the correct confirmation, so the order remains unresolved."
47110013,1000,The issue has been successfully resolved. The transaction has been matched
48842093,50,We need the customer’s payment reference to proceed with the investigation.
83876999,4306,"The payment was processed successfully, and the reconciliation issue is now resolved."
18190236,20,We couldn’t locate the order ID in the system; please verify the transaction details.
74349340,50,The amount recorded does not match the expected payment. Please double-check the payment details.
50169680,20,We suggest checking with the payment provider to confirm if the payment was completed successfully.
78638330,1000,The payment reference provided doesn’t match the system’s record. We need additional verification.
10415592,500,"We found a partial payment, but the full transaction details are still missing."
69567395,200,The payment was not found in the corresponding financial report. Additional investigation is required.
70689402,5,We couldn’t locate the order ID in the system; please verify the transaction details.
16078704,400,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
78195786,5,"The missing data was found, and all accounts are now balanced."
73725150,1,"The payment was rejected, but we have no details on why. More information is required to resolve."
26318291,71,The transaction needs to be manually confirmed before we can proceed with reconciliation.
36086189,100,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
21689944,10,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
24355832,1,The issue has been successfully resolved. The transaction has been matched
42151777,30,Please verify the order details with the accounting team so we can finalize the reconciliation.
24727180,1,"The data from the external source is missing key information, and we need to validate before proceeding."
19727476,80,"The error was caused by incorrect data formatting, which has now been corrected."
57647480,50,"The missing data was found, and all accounts are now balanced."
67948757,200,"The error was caused by incorrect data formatting, which has now been corrected."
80614842,100,"Please update the missing fields, and we’ll reprocess the transaction for reconciliation."
16809166,20,"The wrong account was initially credited, but the transaction has been rectified and processed correctly."
39521149,100,We couldn’t locate the order ID in the system; please verify the transaction details.
89675899,600,The amount recorded does not match the expected payment. Please double-check the payment details.
71895690,3,"Once the missing order information is provided, we will proceed with finalizing the reconciliation."
60915426,49,"The comments provided don’t match the transaction details, so we need further clarification."
63729916,100,"The system is currently down, preventing us from completing the reconciliation."
29937166,100,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
93870547,260,"The payment was processed successfully, and the reconciliation issue is now resolved."
65819128,500,The discrepancy was due to an incorrect payment method. It’s now corrected and reconciled.
17824709,36,The issue has been reviewed and closed successfully after corrections were applied.
30180704,50,"The order was refunded due to a customer request, and the issue is now closed."
48455006,70,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
19300574,2,We couldn’t locate the order ID in the system; please verify the transaction details.
46267899,1,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
57426494,40,Kindly check the payment gateway logs to identify any issues with the transaction.
36889226,400,"The data from the external source is missing key information, and we need to validate before proceeding."
36674649,6,"The status has been updated, and all records now reflect accurate information and you can download the report again"
97750469,500,The payment reference provided doesn’t match the system’s record. We need additional verification.
84800542,50,"The missing order ID has been found, and the data has been updated accordingly."
